stageid,traversedpath,address1_composite,address1_addresstypecode,address1_city,address1_country,address1_county,address1_fax,address1_freighttermscode,address1_latitude,address1_longitude,address1_name,address1_telephone1,address1_postofficebox,address1_primarycontactname,address1_stateorprovince,address1_line1,address1_line2,address1_line3,address1_telephone2,address1_telephone3,address1_postalcode,address2_composite,address2_addresstypecode,address2_city,address2_country,address2_county,address2_fax,address2_latitude,address2_longitude,address2_name,address2_postofficebox,address2_primarycontactname,address2_stateorprovince,address2_line1,address2_line2,address2_line3,address2_telephone1,address2_telephone2,address2_telephone3,address2_postalcode,address3_composite,address3_addresstypecode,address3_city,address3_county,address3_fax,address3_latitude,address3_longitude,address3_name,address3_postofficebox,address3_primarycontactname,address3_telephone1,address3_telephone2,address3_telephone3,address3_country,address3_stateorprovince,address3_line1,address3_line2,address3_line3,address3_postalcode,aging30,aging30_base,aging60,aging60_base,aging90,aging90_base,anniversary,annualincome,annualincome_base,assistantname,assistantphone,isbackofficecustomer,birthdate,businesscard,telephone1,business2,businesscardattributes,callback,childrensnames,company,contactid,creditonhold,creditlimit,creditlimit_base,customersizecode,department,description,donotbulkemail,donotbulkpostalmail,donotemail,donotfax,donotpostalmail,donotphone,educationcode,emailaddress1,emailaddress2,emailaddress3,employeeid,entityimage,entityimageid,exchangerate,externaluseridentifier,fax,firstname,followemail,ftpsiteurl,fullname,msdyn_gdproptout,gendercode,governmentid,haschildrencode,telephone2,home2,importsequencenumber,jobtitle,lastusedincampaign,lastname,lastonholdtime,leadsourcecode,managername,managerphone,familystatuscode,marketingonly,merged,middlename,mobilephone,nickname,numberofchildren,msdyn_orgchangestatus,onholdtime,pager,participatesinworkflow,paymenttermscode,preferredappointmentdaycode,preferredcontactmethodcode,preferredappointmenttimecode,processid,customertypecode,accountrolecode,salutation,donotsendmm,shippingmethodcode,spousesname,statuscode,statecode,suffix,teamsfollowed,telephone3,territorycode,timespentbymeonemailandmeetings,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,websiteurl,yomifirstname,yomifullname,yomilastname,yomimiddlename,createdbyexternalparty,transactioncurrencyid,slainvokedid,masterid,modifiedbyexternalparty,originatingleadid,owningbusinessunit,parent_contactid,preferredequipmentid,preferredserviceid,preferredsystemuserid,defaultpricelevelid,slaid
,,"Konrad-Trey St 1000

85716 Munich
Germany",,Munich,Germany,,,,,,,,,,,Konrad-Trey St 1000,,,,,85716,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,5/11/1994 12:00:00 AM,,408-875-4578,,,,,,55a6e5b9-88df-e311-b8e5-6c3be5a8b200,false,,,Default Value,,,false,false,false,false,false,false,Default Value,Isabelles@treyresearch.net,,,,,,,,,Isabelle,true,,Isabelle Scemla,false,Female,,Default Value,,,104,,,Scemla,,Default Value,,,,false,false,,,,,No Feedback,,,false,,,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,0,,7154498,,,Isabelle Scemla,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"Konrad-Trey St 1000

85716 Munich
Germany",,Munich,Germany,,,,,,,,,,,Konrad-Trey St 1000,,,,,85716,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,10/11/1957 12:00:00 AM,,408-875-4590,,,,,,c7a3e5b9-88df-e311-b8e5-6c3be5a8b200,false,,,Default Value,,,false,false,false,false,false,false,Default Value,info@treyresearch.net,,,,,,,,,Roxanne,true,,Roxanne Kenison,false,Female,,Default Value,,,104,,,Kenison,,Default Value,,,,false,false,,,,,No Feedback,,,false,,,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,0,,7154497,,,Roxanne Kenison,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"Konrad-Trey St 1000

85716 Munich
Germany",,Munich,Germany,,,,,,,,,,,Konrad-Trey St 1000,,,,,85716,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1/17/1972 12:00:00 AM,,789-456-7917,,,,,,b7a0e5b9-88df-e311-b8e5-6c3be5a8b200,false,,,Default Value,,,false,false,false,false,false,false,Default Value,info@treyresearch.net,,,,,,,,,NeKeta,true,,NeKeta Argrow,false,Female,,Default Value,,,104,,,Argrow,,Default Value,,,,false,false,,,,,No Feedback,,,false,,,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,0,,7154496,,,NeKeta Argrow,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"Konrad-Trey St 1000

85716 Munich
Germany",,Munich,Germany,,,,,,,,,,,Konrad-Trey St 1000,,,,,85716,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,12/1/1976 12:00:00 AM,,789-741-8565,,,,,,73a0e5b9-88df-e311-b8e5-6c3be5a8b200,false,,,Default Value,,,false,false,false,false,false,false,Default Value,info@treyresearch.net,,,,,,,,,Humberto,true,,Humberto Acevedo,false,Male,,Default Value,,,104,,,Acevedo,,Default Value,,,,false,false,,,,,No Feedback,,,false,,,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,0,,7154495,,,Humberto Acevedo,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"11111 William Nicol Drive
Johannesburg 2100
South Africa",,Johannesburg,South Africa,,,,,,,,,,,11111 William Nicol Drive,,,,,2100,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,12/20/1959 12:00:00 AM,,768-555-0179,,,,,,e7a2e5b9-88df-e311-b8e5-6c3be5a8b200,false,,,Default Value,,,false,false,false,false,false,false,Default Value,ryang@adventure-works.com,,,,,,,,,Ryan,true,,Ryan Gregg,false,Male,,Default Value,,,104,,,Gregg,,Default Value,,,,false,false,,,,,No Feedback,,,false,,,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,0,,7154430,,,Ryan Gregg,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"11111 William Nicol Drive
Johannesburg 2100
South Africa",,Johannesburg,South Africa,,,,,,,,,,,11111 William Nicol Drive,,,,,2100,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2/25/1985 12:00:00 AM,,768-555-0156,,,,,,49a0e5b9-88df-e311-b8e5-6c3be5a8b200,false,,,Default Value,,,false,false,false,false,false,false,Default Value,Adrian@adventure-works.com,,,,,,,,,Adrian,true,,Adrian Dumitrascu,false,Male,,Default Value,,,104,Purchasing Manager,,Dumitrascu,,Default Value,,,,false,false,,,,,No Feedback,,,false,,,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,0,,7154429,,,Adrian Dumitrascu,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"300 Chestnut Ridge Road
Woodcliff Lake, NJ 07677
United States",,Woodcliff Lake,United States,,,,,,,,,,NJ,300 Chestnut Ridge Road,,,,,07677,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,324-831-1117,,,,,,1dfbd99e-54ec-e911-a812-000d3a3380b8,false,,,Default Value,Purchase,,false,false,false,false,false,false,Default Value,jack@bmwusa.com,,,,,,,,324-831-1117,Jack,true,,Jack Lee,false,,,Default Value,,,,Manager,,Lee,,Default Value,,,,false,false,,324-831-1117,,,No Feedback,,,false,,Tuesday,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,6429126,,,Jack Lee,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"420 University Blvd.
Indianapolis, IN 46202
United States",,Indianapolis,United States,,,FOB,,,,,,,IN,420 University Blvd.,,,,,46202,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,317-274-5555,,,,,,b8f2366a-5298-e911-a964-000d3a37fb59,false,,,Default Value,IT,,false,false,false,false,false,false,Default Value,mike@iupui.edu,,,,,,1,,,Mike,true,,Mike White,false,,,Default Value,,,,IT manager,,White,,Default Value,,,,false,false,,317-274-5666,,,No Feedback,,,false,,,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,6268728,,,Mike White,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,d437e569-e7c2-e411-80df-fc15b42886e8,
,,"32920 Agua Dulce Canyon Rd
Santa Clarita, CA 91390
USA",,Santa Clarita,USA,,,,,,,,,,CA,32920 Agua Dulce Canyon Rd,,,,,91390,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,408-555-0146,,,,,,facc0f3e-8897-e911-a964-000d3a37fb59,false,,,Default Value,Information System,,false,false,false,false,false,false,Default Value,Monica@wingtip.com,,,,,,1,,,Monica,true,,Monica White,false,,,Default Value,,,,CIO,,White,,Default Value,,,,false,false,,408-555-0146,,,No Feedback,,,false,Net 30,,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,6268726,,,Monica White,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"Hackinger Straße 5c
1140 Wien Wien
Austria",,Wien,Austria,,,,,,,,,,Wien,Hackinger Straße 5c,,,,,1140,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,425-666-2345,,,,,,0748aef6-2c92-e911-a962-000d3a37fb59,false,,,Default Value,IT,,false,false,false,false,false,false,Default Value,Mike@ford.au.com,,,,,,1,,,Mike,true,,Mike Snows,false,,,Default Value,,,,IT Manager,,Snows,,Default Value,,,,false,false,,425-666-2346,,,No Feedback,,,false,,Tuesday,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,6268722,,,Mike Snows,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,fdf160d2-2c92-e911-a962-000d3a37fb59,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
