stageid,traversedpath,address1_composite,address1_addresstypecode,address1_county,address1_fax,address1_latitude,address1_longitude,address1_name,address1_postofficebox,address1_telephone1,address1_telephone2,address1_telephone3,address2_composite,address2_addresstypecode,address2_city,address2_country,address2_county,address2_fax,address2_latitude,address2_longitude,address2_name,address2_postofficebox,address2_stateorprovince,address2_line1,address2_line2,address2_line3,address2_telephone1,address2_telephone2,address2_telephone3,address2_postalcode,revenue,revenue_base,budgetamount,budgetamount_base,budgetstatus,businesscard,telephone1,businesscardattributes,address1_city,companyname,confirminterest,address1_country,decisionmaker,description,donotbulkemail,donotemail,donotfax,donotpostalmail,donotphone,emailaddress1,emailaddress2,emailaddress3,entityimage,entityimageid,estimatedclosedate,estimatedamount,estimatedamount_base,estimatedvalue,evaluatefit,exchangerate,fax,firstname,followemail,msdyn_gdproptout,telephone2,importsequencenumber,industrycode,initialcommunication,jobtitle,lastusedincampaign,lastname,lastonholdtime,leadid,leadsourcecode,donotsendmm,merged,middlename,mobilephone,fullname,need,numberofemployees,onholdtime,telephone3,pager,participatesinworkflow,preferredcontactmethodcode,prioritycode,processid,purchaseprocess,purchasetimeframe,qualificationcomments,leadqualitycode,salesstagecode,salesstage,salutation,schedulefollowup_prospect,schedulefollowup_qualify,sic,address1_stateorprovince,statuscode,statecode,address1_line1,address1_line2,address1_line3,teamsfollowed,timespentbymeonemailandmeetings,timezoneruleversionnumber,subject,msdyn_ordertype,utcconversiontimezonecode,versionnumber,websiteurl,yomicompanyname,yomifirstname,yomifullname,yomilastname,yomimiddlename,address1_postalcode,transactioncurrencyid,slainvokedid,masterid,originatingcaseid,owningbusinessunit,parentaccountid,parentcontactid,qualifyingopportunityid,relatedobjectid,slaid,campaignid
,,,Default Value,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,,40000000,40000000,,,324-831-1117,,,BMW,false,,true,,false,false,false,false,false,jack@bmwusa.com,,,,,,,,,false,1,,Jack,true,false,,,,,Manager,,Lee,,99a6742a-55ec-e911-a812-000d3a3380b8,External Referral,false,false,,324-831-1117,Jack Lee,,,,,,false,Any,Default Value,,Committee,This Year,,Warm,Default Value,,,,,,,,Inactive,,,,,,,Azure Cloud Service,Item based,,6429190,,,,Jack Lee,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,977877a7-54ec-e911-a812-000d3a3380b8,1dfbd99e-54ec-e911-a812-000d3a3380b8,9ecc8f61-55ec-e911-a812-000d3a3380b8,,,
f99b4d48-7aad-456e-864a-8e7d543f7495,,"Am Euro Platz 0101
A-1111 Vienna
Austria",Default Value,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,4000000,4000000,1305200,1305200,,,555-0158,,Vienna,Alpine Ski House,false,Austria,true,Follow up,false,false,false,false,false,Cathan@alpineskihouse.com,,,,,9/29/2019 12:00:00 AM,1000000,1000000,,false,1,,Cathan,true,false,,4,Service Retail,,Purchasing Assistant,,Cook,,8ce6c6de-1bff-e411-80d4-c4346bac4730,Web,false,false,,135-548-8795,Cathan Cook,,6100,,,,false,Any,Default Value,919e14d1-6489-4852-abd0-a63a6ecaac5d,Committee,Next Quarter,,Hot,Default Value,,,,,,,Active,Active,Am Euro Platz 0101,,,,,0,New store opened this year - follow up,Item based,,5761788,http://www.alpineskihouse.com,,,Cathan Cook,,,A-1111,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,475b158c-541c-e511-80d3-3863bb347ba8,,,,,ce8571f5-88df-e311-b8e5-6c3be5a8b200
,,"Columbus, OH 47736
United States",Default Value,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,20000000,20000000,1200000,1200000,,,425 223 4589,,Columbus,sales company,false,United States,true,interested into purchasing phone devices with services for 5 years,false,false,false,false,false,ryanking@salecompany.com,,,,,10/10/2019 12:00:00 AM,,,,false,1,,Ryan,true,false,,,Brokers,,sales manager,,King,,ecb19631-dcc5-e911-a96d-000d3a37fb59,External Referral,false,false,,425 223 4589,Ryan King,,100,,,,false,Any,Default Value,919e14d1-6489-4852-abd0-a63a6ecaac5d,Individual,This Year,,Warm,Default Value,,,,,,OH,,Inactive,,,,,,0,Interested in phone devices,Item based,,5387610,,,,Ryan King,,,47736,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,07b1d317-ddc5-e911-a96d-000d3a37fb59,06b1d317-ddc5-e911-a96d-000d3a37fb59,08b1d317-ddc5-e911-a96d-000d3a37fb59,,,
f99b4d48-7aad-456e-864a-8e7d543f7495,,"145-0075
Tokyo
Japan",Default Value,,,,,"145-0075
Tokyo
Tailspin Grand Central Tower
Japan",,,,,,Default Value,,,,,,,,,,,,,,,,,243000000,243000000,1359100,1359100,,,297-555-0192,,Tokyo,Tailspin Toys,false,Japan,false,,false,false,false,false,false,mtanara@tailspintoys.com,,,,,9/1/2019 12:00:00 AM,,,,false,1,,Marco,true,false,,3,Building Supply Retail,,Owner,,Tanara,,e7975ea3-531c-e511-80d8-3863bb3ce2c8,Advertisement,false,false,,,Marco Tanara,,400,,,,false,Any,Default Value,919e14d1-6489-4852-abd0-a63a6ecaac5d,Individual,This Quarter,,Warm,Default Value,,,,,,,Active,Active,,,,,,0,Interested in new toys,Item based,,5239050,,,,Marco Tanara,,,145-0075,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,d68571f5-88df-e311-b8e5-6c3be5a8b200
f99b4d48-7aad-456e-864a-8e7d543f7495,,"Madison, IL 74285
USA",Default Value,,,,,"13 E. Johnson
Madison, IL 74285
USA",,,,,,Default Value,,,,,,,,,,,,,,,,,483000000,483000000,1307400,1307400,,,343-555-6797,,Madison,Humongous Insurance,false,USA,false,,false,false,false,false,false,TSalah@humongousinsurance.com,,,,,10/24/2019 12:00:00 AM,,,,false,1,,Tamer,true,false,,3,,,Owner,,Salah,,e5975ea3-531c-e511-80d8-3863bb3ce2c8,Advertisement,false,false,,,Tamer Salah,,,,,,false,Any,Default Value,919e14d1-6489-4852-abd0-a63a6ecaac5d,,,,Warm,Default Value,,,,,,IL,Active,Active,,,,,,0,Interested in some new cell phones,Item based,,5227098,,,,Tamer Salah,,,74285,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,ce8571f5-88df-e311-b8e5-6c3be5a8b200
f99b4d48-7aad-456e-864a-8e7d543f7495,,"Bogota
Columbia",Default Value,,,,,"Carrera 1b No 10-01
Bogota
Columbia",,,,,,Default Value,,,,,,,,,,,,,,,,,75000000,75000000,1507500,1507500,,,555-0168,,Bogota,Fourth Coffee,false,Columbia,true,,false,false,false,false,false,gabriele@fourthcoffee.com,,,,,8/29/2019 12:00:00 AM,,,,false,1,,Gabriele,true,false,,3,,,Purchasing Assistant,,Cannata,,ed975ea3-531c-e511-80d8-3863bb3ce2c8,Advertisement,false,false,,,Gabriele Cannata,,,,,,false,Any,Default Value,919e14d1-6489-4852-abd0-a63a6ecaac5d,Individual,This Year,,Hot,Default Value,,,,,,,Active,Active,,,,,,0,Follow-up with information regarding our promotions,Item based,,5227094,,,,Gabriele Cannata,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,d68571f5-88df-e311-b8e5-6c3be5a8b200
f99b4d48-7aad-456e-864a-8e7d543f7495,,"Kansas City, Missouri 04983
United States",Default Value,,,,,"15289 West Jackson
Kansas City, Missouri 04983
United States",,,,,,Default Value,,,,,,,,,,,,,,,,,20000000,20000000,1389000,1389000,,,+1-327-555-3960,,Kansas City,The Phone Company,false,United States,false,,false,false,false,false,false,info@thephone-company.com,,,,,8/29/2019 12:00:00 AM,,,,false,1,,Allison,true,false,,3,,,Purchasing Assistant,,Brown,,e9975ea3-531c-e511-80d8-3863bb3ce2c8,Advertisement,false,false,,,Allison Brown,,,,,,false,Any,Default Value,919e14d1-6489-4852-abd0-a63a6ecaac5d,,This Year,,Hot,Default Value,,,,,,Missouri,Active,Active,,,,,,0,Wants to expand,Item based,,5227091,,,,Allison Brown,,,04983,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,f48571f5-88df-e311-b8e5-6c3be5a8b200
f99b4d48-7aad-456e-864a-8e7d543f7495,,"10001 High Street
Chistchurch
New Zealand",Default Value,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,75000000,75000000,85000,85000,,,555-0154,,Chistchurch,Lucerne Publishing,false,New Zealand,true,"Expansion of Inventory
",false,false,false,false,false,psteiner@lucernepublishing.com,,,,,11/30/2019 12:00:00 AM,85000,85000,,false,1,,Patrick,true,false,,2,Consumer Services,,Purchasing Manager,,Steiner,,354fa496-3ff2-e311-9864-a45d36fc5f1c,Word of Mouth,false,false,,408-875-4587,Patrick Steiner,,625,,,,false,Any,Default Value,919e14d1-6489-4852-abd0-a63a6ecaac5d,Committee,This Year,,Hot,Default Value,,,,,,,Active,Active,10001 High Street,,,,,0,Wants to expand,Item based,,5227085,http://www.lucernepublishing.com,,,Patrick Steiner,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,bea19cdd-88df-e311-b8e5-6c3be5a8b200,,,,,f48571f5-88df-e311-b8e5-6c3be5a8b200
f99b4d48-7aad-456e-864a-8e7d543f7495,,"1 Northwind Trader Way
Columbus, OH 47736
US",Default Value,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,7000000,7000000,50000,50000,,,555-123-4879,,Columbus,Northwind Traders,false,US,true,Alex has demonstrated that NWT is interested in purchasing the X line of cameras for their stores.,false,false,false,false,false,alexw@northwindtraders.com,,,/9j/4AAQSkZJRgABAQEAYABgAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/2wBDAQkJCQwLDBgNDRgyIRwhMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjL/wAARCACQAJADASIAAhEBAxEB/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/8QAHwEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoL/8QAtREAAgECBAQDBAcFBAQAAQJ3AAECAxEEBSExBhJBUQdhcRMiMoEIFEKRobHBCSMzUvAVYnLRChYkNOEl8RcYGRomJygpKjU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6goOEhYaHiImKkpOUlZaXmJmaoqOkpaanqKmqsrO0tba3uLm6wsPExcbHyMnK0tPU1dbX2Nna4uPk5ebn6Onq8vP09fb3+Pn6/9oADAMBAAIRAxEAPwDm7xn3n526+tFsXJ++350+7X94adZr89ct9DqsLOzpHne351mm8O/HmN+ZrYv0xbNXFXdwYp+vGauDuhS0N1nZhw7fnWBqOsiJmjt2MjDq244FVr3VZDF5ETFVI+dgf0rPmYG12xqoJ5P0rRIzbEOoXcwYzTsU7DNQmdycgyH/AIFQqYQcZOOT1pof5sc/iKokUSOf45B/wI0vmSdpWP4mlw2M8GjbkcjFA7CrLIDne4x33Vo2mpXEJVJXZoz0JJ4+lZvIPT8akUn7o6ehoA6iObzF3JKSPqeKlDP/AH2/Oubtbt7aUHkqT0/pXQRzxyIHVsg9KTGThn/vt+dODP8A32/M1GJF9acJF9aQEod/77fmangZ94+dvzqqJU9ant5FLjBpPYa3Na8X5zS2a/PT7xfnpbMfMK5b6GyRJqK/6K30rzjVGIuG9q9M1AZtG+leXay/+mtGO3WtaIqhmsS7YHSpI1OfWkVAOpx61atoXupVRF79q3b0MYq7JreAMBwGJ4wO1dfoXgj+1GBlj8tD7Vf8OeGD8ryKAPUivUNIsI4FVVQcd8VxVcRbSJ3QoJK8jiD8KbJo8RttbHXJrIvvhDfRRF7WbzCOdpFe4wW68HbVv7MjdqxhVqdxS5Ox8k6jod3ptx5F1CYpScAMPvfQ96zWieN9rAqRX1f4j8J6dr2nSWt1ApLD5XA+ZD2INfPPiHR59K1SbSL5QLiIfuZ+nmr2P49PrXZRrc+j3OepBW5o7GAtv51vlV+cdRTo7hlj3dB3+vr+P+NT2C7pAGHQYx7H/CoruEQTttH7th0+v+BrcyQfbHp32x6pj37U6oNbIt/bXq/ptyzy4NY1aek/678aTegJand3g+Y0Wn3hTr3qaS16iuYtEuosEsndjhVXJPtXkckhnuJLgn77Ej2r0rxZcGDw/cYOC67a8zB2W4reitDOo9SORxnFdT4Th3yFyOBXJwo086oOWJrvdFtZILdIYkLSOcD3p1naNi8NFynzHpWiuhjRRjgV1tmQWAHX61xGneEZ7mFWm1OaJ+uIeAKkuNC8SaK4m0vVHuUXrHKOa4fZJ9TsnJ3senW+7GMVZQkHOK5bw1rt5dbU1C2MU2MHjg10zy7ELgZpJWOWadx8hOOleafFTwwNb0P7dbxk31jl1Cjl0/iH9RWzeeKdfkvGtrHSFcA/6x8gUP8A8JdOglbT7EEdUW46j8qtRaakmOKtpI+eLJt483OCDhv6/wBDT9RUtFkjkHHFa3iLT/7J8S3sH2d7eO4HmrCw5Rv4gOxGeR7VizTCSBhu54OPcV6Cd1c5pR5XZmdn5/8AeGakFRv8pX2PH41LSZcdgrT0ofvvxrOArS0r/W/jUS2KR3d71NMtu1OvT1plv0rnKRieOJT/AGRHGP8AlpKAAO+K4W7tZbZkjZlYnrtOdvtXXeOLjyxY/wCxIWx64xWD5aSxyyE5XIKke9dFN8sULkU79xfC9l9ov2JXO0V6Xp9sLbbIRg9Aa5nwnYrBG0xBy/IzXoNjbx3UQSRQVPUGuavO8jtw1PkgYmo/EJ9NaSKwhE7RcO7HCqfQeta3h/x7dX1u15dWqi1jKiV0x8m7ODjPTjn0rZh8N2wUBIISp/haMEVrwaNbQxYMEKL3CoAKhSp8trBJ63bLkk0f2uEpt2soOR71uHBiQeorjbm5AnXaMKDwB2x0ro7aYtHHn0rG5lODsmc34q8XWfhlQ88bSv2jjHT0z6dKoaL8UtOvXVJ7ae0VnCCR/mTcRkAnscGun1DQrO+maWSGJi/XdGDn61THhPSfLZPsFqFY5OI+D+FaJwS1Wo/daRxXxigin0ex1aJQZIJthYDqjD/ECvFYpd0wXtur6J8XeGVuPBmoWFtuJWPzIkJ6FeQB+WK+cbcj7UuR3rrwsrxt2ObEJJposzRkQE4+6SD+BpYzuQH2qzcLiJ/Qlv5VStWzHj0rd7GUXqWBWjpn+t/Gs8CtDTf9bWb2NUjubyo4CdnFPvKjg4XNYCRxvjqTN5bxf3I8/mazdHH2u1NuCA4YAH+VTeLn361LznagFUvDcsEOtRfabgQQEHc5GR0yP1xXRy/uyac1Grd7HfabJhVG3bkciuq0m5IKjNcTYahBNqIgRwWK7hz7101jKUnHpXFJdz2KbVz0ewlEijnIq7dEJbM7uERRksxwAKwNNuMKOaj8VJPqOl/ZIZvL3MpbPRgDnBrLQicPfM5rn7XqEYi3NCWzuA4NdnE+yOM9sVwVveXNvLCgs2dUIDPGc4H0612i6gJLKN0t3cA4IGAf1pNCqLZI1BKrnYHB4qWOIkcmsK93xwpcxDDRnLDvtrUtb8PbBm+8RRFrqYyg0roS8cbSD6dK+TbpVj1y5RP9WJ3Ax6biK+n9Vu/JtLiYniONmJ+gr5V80vciQn5nbcTXZhFq2YYpKKijZvMC2cnsetZdm3zspq3PIWgcE8ZxVCBttz9a62tDkTtI1B0q/p3+tqgBV7T+JaxZ0I7i8qKD7lTXnSq8LbVrKxCOA8RNu1q6J/v7f0rAcYrY1d/Nv5n9ZGNZjruXiuyOxhLctaHdfY9XtpScLu2t9DXsGmRidsg14hyBx1r1HwnrQkgiMjfMVANc2JjpdHdgZ2vE7+wZvNCjnAzVfVtetLG8W3nl/eYzjHJqxotxGLh3bBGOlZmvadHqF35i4DA5U4ziuCNubU9BO8tSxY+ILYSGQQO645IYcV0K65p6wKxnchudoXpXIafYTQnbJYq4PBdO4rZTSRJD+5syDuPDN0Fa8sDrlRotJt/idFbahY3Y2w3KPuHKZ5/KnBPLGEOAOBWZp+g21uvnMi/aT/GB932FbKlRtBrGVr6HBPljJ8j0Oa8d3v8AZ3gvUpScO8BRT7twP5184dLlR2UAV618YfECyC20iFvvMJZceg6D8/5V5EDmZjXo4WNoX7nm4mV527F13+Ur6jNVS2JFIqZzz+BqoxroOd7m/GQ8asO4q7Zf62sywbdbjnoa1LIfvKwaszqjqrncXg4NUJ5fJtJX/uqa0Lvoa53X7w2ulSDj958vuKhK7IOGuZhJIQOuTUOSKaW+YnuaYXzXWYXHkBs/TNbuhzPHbgofmRjWAnLitzw1+9uZIsZyc4rKr8Jvhnaoj0bQ9ajfbubDdCK6YYfEmeK86l02e1cSIGXv0rodH1qSNFiulOOgbHFedOKeqPXSbO+0+MsmSK1WjEcYOK57T9Vh4IlTBHc1rDU4WHMg+grKxEoSJx8uWY8VkahqPkq4i+Z8ZPsKnlN1fny4FaOLPLkfyrI8VCLSPC986HDiF/mPUnFEdXYh+7ueBalfy6rqtxeXEm+SVycnsM8fpVBP9YT700HAJ/KnRjge5r2krI8a93csOcsPpVVun41aZcAtj6VVbp+NMGaelN8jj3rbsv8AWVjaYhWMk8ZrZtP9ZWE9zqp/Cd1d9Ky73TYdTsmglB55UjqDWpdVDb1HUg8m1CylsbuSCQcqcZqoc44r1bV9Dt7+JpAi+f1DGuLvdEW1LKxz2GDW6mupm6bexhINke41s+FsrqYYdM1Amn+c6xoHdycADvW9o+kta3R45HWoqTXKzehSlzpnp0NqtzYDIzx19Kk0uyWNwjIDg+lSaE3mWwX25rWgg2zE4715T7Hp8xo2en2wGfIQk9flrRSyi42xov0FNtB8gOR+VXRgDiosYSmyMRKikACvO/ijIkXhm6Un5pBtUZr0ZzhSc14p8V71rq6htYiSI8lq1oxvNEXbTPHTktz0q3bRbpU3DjNOMA3nP5VKi9Tk4HWvYueby2EvGHCr0AqtDA08gUDjvVgxtM21AfcmtG3hEMYUfiamUrIuMHJ6kkUYjQKKt2v+tqvVi1+/WLOnZHd3VQ29PvZY4xl3VfqazDrFrbjgs59FFJkwpTn8KNh/uH6Vzd3pdxqNwUhXC55dugqG+1u5uBiPMUfop5P41qWviy2ECJPbujKMEpgg1E5tL3TrjgpxV5CWumQ6apWMbpMfNIep+noK0dH07zpWYiqTa1p8pz5xGfVG/wAK3dF1vRIABJeIp6nIIrnk5WNVTcdkXtFcw3zW7dQeldituGw3tXnx1nTxr0c0N3F5bfeO7gV30Gu6P9nBOpWuQP8AnqKyadxTUt0jRh+RBnHFTI+9vUVz9z4l0pEwmoW5+jin23ijRYYd0up2wJ7bxSszLkk1exuTlvKfHXGBXmXibwtPPBPNGoluJDhcnpXT3PjzQkY4vVYf7IJrEvPHujnOx5X+kZqoqSd0XCnUtsedH4d6xsBAiJbqS2MVWuvCk+nQj7QQx7hegrsrjx/D0is5W9zgVzmreKri+UqI4olPqcmuqNSq9w+qrexzctu8HJA2+opoOaguZHkclmZvrUccjKeO9dPLc5GrOxdzVm1P7yqKzqeCCDVy1YGTgg/jUtNAf//Z,e8089799-0b74-e911-a9ba-000d3a33bcb9,12/21/2019 12:00:00 AM,348500,348500,,false,1,,Alex,true,false,,2,Non-Durable Merchandise Retail,,Purchasing Manager,,Wu,,494fa496-3ff2-e311-9864-a45d36fc5f1c,Web,false,false,,401-874-2154,Alex Wu,,1875,,,,false,Any,Default Value,919e14d1-6489-4852-abd0-a63a6ecaac5d,Committee,This Quarter,,Warm,Default Value,,,,,,OH,Active,Active,1 Northwind Trader Way,,,,,0,Expressed interest in A. Datum X line of printers,Item based,,5227082,http://www.northwindtraders.com,,,Alex Wu,,,47736,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,c2a19cdd-88df-e311-b8e5-6c3be5a8b200,63a0e5b9-88df-e311-b8e5-6c3be5a8b200,628cf01a-aed1-e411-80ef-c4346bac7be8,,,e48571f5-88df-e311-b8e5-6c3be5a8b200
f99b4d48-7aad-456e-864a-8e7d543f7495,,"Newport Beach, CA
US",Default Value,,,,,"4915 Pear Dr.
Newport Beach, CA
US",,,,,,Default Value,,,,,,,,,,,,,,,,,32000000,32000000,1542800,1542800,,,555-0112,,Newport Beach,Margie's Travel,false,US,true,Testing,false,false,false,false,false,sueburk@margiestravel.com,,,,,11/16/2019 12:00:00 AM,,,,false,1,,Susan,true,false,,3,,,Owner,,Burk,,ef975ea3-531c-e511-80d8-3863bb3ce2c8,Advertisement,false,false,,,Susan Burk,,3000,,,,false,Any,Default Value,919e14d1-6489-4852-abd0-a63a6ecaac5d,Individual,This Quarter,,Warm,Default Value,,,,,,CA,Active,Active,,,,,,0,Interested in our newer offerings,Item based,,5227071,,,,Susan Burk,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,475b158c-541c-e511-80d3-3863bb347ba8,41d30950-2499-e911-a964-000d3a37fb59,43d30950-2499-e911-a964-000d3a37fb59,,,d08571f5-88df-e311-b8e5-6c3be5a8b200
