stageid,traversedpath,accessmode,address1_composite,address1_addresstypecode,address1_county,address1_fax,address1_latitude,address1_longitude,address1_postofficebox,address2_addresstypecode,address2_county,address2_fax,address2_latitude,address2_longitude,address2_postofficebox,address2_telephone1,address2_telephone2,address2_telephone3,applicationid,applicationiduri,azureactivedirectoryobjectid,address1_city,address1_country,defaultfilterspopulated,defaultodbfoldername,disabledreason,displayinserviceviews,personalemailaddress,isemailaddressapprovedbyo365admin,employeeid,entityimage,entityimageid,exchangerate,firstname,fullname,msdyn_gdproptout,governmentid,homephone,importsequencenumber,incomingemaildeliverymethod,isintegrationuser,invitestatuscode,jobtitle,lastname,caltype,address1_telephone1,middlename,mobilealertemail,mobilephone,nickname,organizationid,address2_composite,address2_city,address2_country,address1_telephone2,address2_stateorprovince,address2_line1,address2_line2,address2_line3,address2_postalcode,outgoingemaildeliverymethod,address1_telephone3,passporthi,passportlo,photourl,preferredaddresscode,preferredemailcode,preferredphonecode,internalemailaddress,emailrouteraccessapproval,processid,setupuser,salutation,sharepointemailaddress,skills,address1_stateorprovince,isdisabled,address1_line1,address1_line2,address1_line3,timezoneruleversionnumber,title,identityid,systemuserid,userlicensetype,islicensed,domainname,userpuid,issyncwithdirectory,utcconversiontimezonecode,versionnumber,windowsliveid,yammeremailaddress,yammeruserid,yomifirstname,yomifullname,yomilastname,yomimiddlename,address1_postalcode,businessunitid,calendarid,transactioncurrencyid,queueid,defaultmailbox,parentsystemuserid,mobileofflineprofileid,positionid,siteid,territoryid
,,Non-interactive,,Bill To,,,,,,Default Value,,,,,,,,,c9299480-c13a-49db-a7ae-cdfe54fe0313,c9299480-c13a-49db-a7ae-cdfe54fe0313,d8245675-8aa1-4528-9a6c-769ba6141bfc,,,false,Dynamics365,,false,,false,,,,,PowerApps,PowerApps Checker Application,false,,,,Microsoft Dynamics 365 for Outlook,false,Invitation Not Sent,,Checker Application,Professional,,,,,,a494d750-9c6d-4e65-9be3-b13f72ceef69,,,,,,,,,,Microsoft Dynamics 365 for Outlook,,,,,Mailing Address,Default Value,Main Phone,pacheckerapp@microsoft.com,Pending Approval,,false,,,,,false,,,,,,55,fd14f232-a982-e911-a9a1-000d3a37fef7,3,false,pacheckerapp@microsoft.com,,false,,8659234,pacheckerapp@microsoft.com,,,,PowerApps Checker Application,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,685330c2-4f6a-4938-8a52-adbd4fc447b3,,dc18f232-a982-e911-a9a1-000d3a37fef7,db18f232-a982-e911-a9a1-000d3a37fef7,,,,,
,,Non-interactive,,Bill To,,,,,,Default Value,,,,,,,,,79b1d801-4c53-472c-8b05-a1927f88a3ac,api://79b1d801-4c53-472c-8b05-a1927f88a3ac,9d64e5a5-ca96-406f-8b1c-2ed1c6cd3201,,,false,Dynamics365,,false,,false,,,,1,BizQA,BizQA App,false,,,,Microsoft Dynamics 365 for Outlook,false,Invitation Not Sent,,App,Professional,,,,,,a494d750-9c6d-4e65-9be3-b13f72ceef69,,,,,,,,,,Microsoft Dynamics 365 for Outlook,,,,,Mailing Address,Default Value,Main Phone,BizQAProduction@bizqatrial3.onmicrosoft.com,Pending Approval,,false,,,,,false,,,,,,66,cdb57149-e3e3-e911-a973-000d3a37fb59,3,false,BizQAProduction@bizqatrial3.onmicrosoft.com,,false,,6255792,BizQAProduction@bizqatrial3.onmicrosoft.com,,,,BizQA App,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,83461d32-1592-44b0-9120-ec24c51d1e8b,480e992f-ff73-e911-a9ba-000d3a33bcb9,d2b57149-e3e3-e911-a973-000d3a37fb59,d1b57149-e3e3-e911-a973-000d3a37fb59,,,,,
,,Read-Write,,Bill To,,,,,,Default Value,,,,,,,,,,,29ca20f1-47ac-4442-8d00-8b617b544994,,,false,Dynamics365,,false,,false,,,,,Claude,Claude Donley,false,,,,Server-Side Synchronization or Email Router,false,Invitation Accepted,,Donley,Enterprise,,,,,,a494d750-9c6d-4e65-9be3-b13f72ceef69,,,,,,,,,,Server-Side Synchronization or Email Router,,,,,Mailing Address,Default Value,Main Phone,ClaudeDonley@bizqatrial3.onmicrosoft.com,Approved,,false,,,,,false,,,,,,58,82606896-1492-e911-a98e-000d3a37fbce,6,true,ClaudeDonley@bizqatrial3.onmicrosoft.com,100320004D71F059,true,,6049921,ClaudeDonley@bizqatrial3.onmicrosoft.com,,,,Claude Donley,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,761ece20-876d-42db-b9d9-c8b4f33fa0fa,,36da7f9c-1492-e911-a98e-000d3a37fbce,35da7f9c-1492-e911-a98e-000d3a37fbce,,,,,67aa3c35-62ef-e411-80eb-c4346bace124
,,Non-interactive,,Bill To,,,,,,Default Value,,,,,,,,,4d5b999c-fcdc-4017-9548-7a5cf2c12362,https://microsoft.onmicrosoft.com/f19b6ada-b780-4268-ae8c-f5864840d777,f7cebd9a-7738-4e6a-897c-69e7d755939c,,,false,Dynamics365,,false,,false,,,,1,Test,Test Apptoken,false,,,,Microsoft Dynamics 365 for Outlook,false,Invitation Not Sent,,Apptoken,Professional,,,,,,a494d750-9c6d-4e65-9be3-b13f72ceef69,,,,,,,,,,Microsoft Dynamics 365 for Outlook,,,,,Mailing Address,Default Value,Main Phone,zhangyjiangj@hotmail.com,Pending Approval,,false,,,,,false,,,,,,65,964989ee-f9c8-e911-a96d-000d3a37fb59,3,false,zhangyjiangj@hotmail.com,,false,,5540845,zhangyjiangj@hotmail.com,,,,Test Apptoken,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,8cfef9b3-ad04-4526-8557-6f074a755846,480e992f-ff73-e911-a9ba-000d3a33bcb9,9b4989ee-f9c8-e911-a96d-000d3a37fb59,9a4989ee-f9c8-e911-a96d-000d3a37fb59,,,,,
,,Non-interactive,,Bill To,,,,,,Default Value,,,,,,,,,6bd996ea-83e3-41d4-9a3f-950eec623427,6bd996ea-83e3-41d4-9a3f-950eec623427,f72fe484-4929-4391-91ec-6ec2829420e8,,,false,Dynamics365,,false,,true,,,,1,App,App User,false,,,,Microsoft Dynamics 365 for Outlook,false,Invitation Not Sent,,User,Professional,,,,,,a494d750-9c6d-4e65-9be3-b13f72ceef69,,,,,,,,,,Microsoft Dynamics 365 for Outlook,,,,,Mailing Address,Default Value,Main Phone,yuzh@microsoft.com,Approved,,false,,,,,false,,,,,,64,681a3841-4bc8-e911-a96d-000d3a37fb59,3,false,yuzh@microsoft.com,,false,,5399857,yuzh@microsoft.com,,,,App User,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,dad8d966-7ead-4c26-80e2-201915fd408f,480e992f-ff73-e911-a9ba-000d3a33bcb9,6d1a3841-4bc8-e911-a96d-000d3a37fb59,6c1a3841-4bc8-e911-a96d-000d3a37fb59,,,,,
,,Read-Write,US,Bill To,,,,,,Default Value,,,,,,,,,,,f418c200-9df0-4822-a044-7bb40d421cce,,US,false,Dynamics365,,false,,false,,,,,BizQA,BizQA Trial3,false,,,,Server-Side Synchronization or Email Router,false,Invitation Accepted,,Trial3,Enterprise,,,,,,a494d750-9c6d-4e65-9be3-b13f72ceef69,,,,,,,,,,Server-Side Synchronization or Email Router,,,,,Mailing Address,Default Value,Main Phone,bizqatrial3@bizqatrial3.onmicrosoft.com,Approved,,false,,,,,false,,,,,,36,21b6fe39-cc82-4b5c-8cbf-a2e50851a0fd,6,true,bizqatrial3@bizqatrial3.onmicrosoft.com,1003200048EC3B38,true,,4285240,bizqatrial3@bizqatrial3.onmicrosoft.com,,,,BizQA Trial3,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,afba26d5-d2e0-4c7e-9567-1dd60aef4faa,,464bf248-0a74-e911-a9ba-000d3a33bcb9,444bf248-0a74-e911-a9ba-000d3a33bcb9,,,,,3437fc3f-62ef-e411-80eb-c4346bace124
,,Administrative,,Bill To,,,,,,Default Value,,,,,,,,,,,,,,false,Dynamics365,,false,,false,,,,,Master1,Master1 BizQA,false,,,,Server-Side Synchronization or Email Router,false,Invitation Not Sent,,BizQA,Administrative,,,,,,a494d750-9c6d-4e65-9be3-b13f72ceef69,,,,,,,,,,Server-Side Synchronization or Email Router,,,,,Mailing Address,Default Value,Main Phone,1775a18890534b32a379483c997469ddmaster1@bizqatrial3.onmicrosoft.com,Pending Approval,,true,,,,,true,,,,,,56,98dc2bf2-678e-e911-a98d-000d3a37fbce,-1,false,1775a18890534b32a379483c997469ddmaster1@bizqatrial3.onmicrosoft.com,,true,,3214156,1775a18890534b32a379483c997469ddmaster1@bizqatrial3.onmicrosoft.com,,,,Master1 BizQA,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,ca5b5555-747c-4101-b457-afda91ff7577,,adbf10f9-678e-e911-a98d-000d3a37fbce,acbf10f9-678e-e911-a98d-000d3a37fbce,,,,,
,,Read-Write,,Bill To,,,,,,Default Value,,,,,,,,,,,,,,false,Dynamics365,,false,,false,,,,,User1,User1 BizQA,false,,,,Server-Side Synchronization or Email Router,false,Invitation Not Sent,,BizQA,Professional,,,,,,a494d750-9c6d-4e65-9be3-b13f72ceef69,,,,,,,,,,Server-Side Synchronization or Email Router,,,,,Mailing Address,Default Value,Main Phone,158a92dd4fed465ba0317691b879631buser1@bizqatrial3.onmicrosoft.com,Pending Approval,,false,,,,,true,,,,,,57,b2f01448-c58e-e911-a992-000d3a37f80d,-1,false,158a92dd4fed465ba0317691b879631buser1@bizqatrial3.onmicrosoft.com,,true,,3214152,158a92dd4fed465ba0317691b879631buser1@bizqatrial3.onmicrosoft.com,,,,User1 BizQA,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,143252b1-f9c8-40f4-88fd-d7ba8f24fa13,,b7f01448-c58e-e911-a992-000d3a37f80d,b6f01448-c58e-e911-a992-000d3a37f80d,,,,,
,,Non-interactive,,Bill To,,,,,,Default Value,,,,,,,,,19dd5b37-d116-48cb-90d2-4aa56696cba1,19dd5b37-d116-48cb-90d2-4aa56696cba1,3392fce9-e41e-4089-8e9f-20de98e3d5e8,,,false,Dynamics365,,false,,false,,,,,Microsoft,Microsoft Forms Pro,false,,,,Microsoft Dynamics 365 for Outlook,false,Invitation Not Sent,,Forms Pro,Professional,,,,,,a494d750-9c6d-4e65-9be3-b13f72ceef69,,,,,,,,,,Microsoft Dynamics 365 for Outlook,,,,,Mailing Address,Default Value,Main Phone,enterprisesurveyappuser@contoso.com,Pending Approval,,false,,,,,false,,,,,,63,e021cc04-22a9-e911-a9a0-000d3a37fe43,3,false,enterprisesurveyappuser@contoso.com,,false,,3213057,enterprisesurveyappuser@contoso.com,,,,Microsoft Forms Pro,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,821bf899-8498-468a-9684-7ac2477754af,,6a11c50a-22a9-e911-a9a0-000d3a37fe43,6511c50a-22a9-e911-a9a0-000d3a37fe43,,,,,
,,Read-Write,,Bill To,,,,,,Default Value,,,,,,,,,,,8d539365-8ddf-4bb1-849c-21549dc50159,,,false,Dynamics365,,false,,false,,,,,Willis,Willis Liddell,false,,,,Server-Side Synchronization or Email Router,false,Invitation Not Sent,,Liddell,Enterprise,,,,,,a494d750-9c6d-4e65-9be3-b13f72ceef69,,,,,,,,,,Server-Side Synchronization or Email Router,,,,,Mailing Address,Default Value,Main Phone,WillisLiddell@bizqatrial3.onmicrosoft.com,Approved,,false,,,,,false,,,,,,61,649c57f0-1d92-e911-a995-000d3a37f80d,6,true,WillisLiddell@bizqatrial3.onmicrosoft.com,100320004D76E968,true,,3047596,WillisLiddell@bizqatrial3.onmicrosoft.com,,,,Willis Liddell,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,b930e744-3ec4-4036-8796-6b4135de4b95,,699c57f0-1d92-e911-a995-000d3a37f80d,689c57f0-1d92-e911-a995-000d3a37f80d,,,,,d2fa0104-62ef-e411-80eb-c4346bace124
